From	Entry	Protein names	Gene Names	Length	EC number	Interacts with	Pathway	Gene Ontology IDs	Subcellular location [CC]	PubMed ID	Protein families	Domain [FT]	Topological domain
b3131	P0ACK2	Putative aga operon transcriptional repressor	agaR yhaW b3131 JW3100	269				GO:0003677; GO:0003700; GO:0006355		10931310; 9278503; 16738553; 8932697		DOMAIN 15..70; /note="HTH deoR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00349"	
b3136	P42907	Putative D-galactosamine-6-phosphate deaminase AgaS (EC 3.5.99.-) (Gam-6-P deaminase/isomerase)	agaS yraB b3136 JW3105	384	3.5.99.-			GO:0009401; GO:0016787; GO:0016853; GO:0097367; GO:1901135		9278503; 16738553; 8932697	SIS family, AgaS subfamily	DOMAIN 45..197; /note="SIS 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00797"; DOMAIN 215..364; /note="SIS 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00797"	
b3132	P0C8K0	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ	kbaZ agaZ yhaX b3132 JW3101	426			PATHWAY: Carbohydrate metabolism; D-tagatose 6-phosphate degradation; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-tagatose 6-phosphate: step 2/2.	GO:0005975; GO:0008047; GO:0009401; GO:1902494; GO:2001059		9278503; 16738553; 8932697; 11976750	GatZ/KbaZ family, KbaZ subfamily		
b1901	P02924	L-arabinose-binding periplasmic protein (ABP)	araF b1901 JW1889	329				GO:0015407; GO:0016020; GO:0030246; GO:0030288; GO:0042882; GO:0048029; GO:0055052	SUBCELLULAR LOCATION: Periplasm.	2445996; 9097040; 9278503; 16738553; 6885805; 326784; 9298646; 2231717; 9298644; 7031057; 326785; 2204627	Bacterial solute-binding protein 2 family		
b2841	P0AE24	Arabinose-proton symporter (Arabinose transporter)	araE b2841 JW2809	472				GO:0005886; GO:0015147; GO:0015150; GO:0015293; GO:0015756; GO:0016020; GO:0042882; GO:0055085	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2836407, ECO:0000269|PubMed:7030324}; Multi-pass membrane protein {ECO:0000255}.	3543693; 2836407; 9278503; 16738553; 6319708; 7030324; 6282256; 15919996	Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family		TOPO_DOM 1..29; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 51..63; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 85..91; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 113..114; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 136..154; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 176..178; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 200..257; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 279..297; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 319..325; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 347..361; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 383..404; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 447..472; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:15919996"
b0063	P08204	Ribulokinase (EC 2.7.1.16)	araB b0063 JW0062	566	2.7.1.16		PATHWAY: Carbohydrate degradation; L-arabinose degradation via L-ribulose; D-xylulose 5-phosphate from L-arabinose (bacterial route): step 2/3.	GO:0005524; GO:0005737; GO:0008741; GO:0016052; GO:0016773; GO:0019150; GO:0019321; GO:0019568; GO:0019569; GO:0019572; GO:0046835		3549454; 1630901; 9278503; 16738553; 189315; 357433; 328165; 2962192; 9298644	Ribulokinase family		
b0064	P0A9E0	Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)	araC b0064 JW0063	292		P0A9E0; P0A8P6		GO:0000976; GO:0001217; GO:0005829; GO:0019568; GO:0032993; GO:0042802	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	7019009; 7008027; 6283093; 1630901; 9278503; 16738553; 6160371; 4943786; 4362626; 328165; 6251457; 6319708; 6377308; 2962192; 3279415; 2531226; 2231717; 1447222; 9298644; 26800223; 9367758; 9103202; 17173282; 19422057		DOMAIN 180..279; /note="HTH araC/xylS-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00593"	
b0396	P23910	Putative transporter AraJ	araJ b0396 JW0386	394				GO:0005886; GO:0022857; GO:0055085	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305|PubMed:15919996}.	1744033; 9278503; 16738553; 2231717; 15919996	Major facilitator superfamily		TOPO_DOM 1..4; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 28..41; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 64..69; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 90..93; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 117..128; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 152..155; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 179..198; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 222..235; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 256..261; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 285..293; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 317..322; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 343..351; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 375..394; /note="Cytoplasmic"; /evidence="ECO:0000255, ECO:0000269|PubMed:15919996"
b3565	P00944	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	xylA b3565 JW3537	440	5.3.1.5			GO:0000287; GO:0005737; GO:0009045; GO:0042803; GO:0042843	SUBCELLULAR LOCATION: Cytoplasm.	6320721; 6327696; 6325179; 2132127; 8041620; 9278503; 16738553; 2405386	Xylose isomerase family		
b3603	P33231	L-lactate permease	lldP lctP b3603 JW3578	551				GO:0005886; GO:0006974; GO:0015129; GO:0015295	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	8407843; 8041620; 9278503; 16738553; 11283302; 11785976; 15919996	Lactate permease family		
b1109	P00393	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095	434	1.16.1.-; 1.6.5.9			GO:0005886; GO:0008137; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050660; GO:0055070	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; Peripheral membrane protein {ECO:0000269|PubMed:10664466, ECO:0000305|PubMed:12176061}; Cytoplasmic side {ECO:0000305|PubMed:12176061}. Note=Membrane-bound (PubMed:10664466). Interaction with the membrane is probably mediated by amphipathic helices and electrostatic interactions (PubMed:15581635). Copurifies with phospholipids (PubMed:7020757, PubMed:6362717). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:15581635, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:7020757}.	6265208; 8905232; 9278503; 16738553; 6784762; 7009604; 7020757; 6362717; 3122832; 2679883; 8387992; 7487066; 8809757; 9168602; 9308170; 10510271; 10664466; 12176061; 16759635; 21040753; 21390523; 15581635	NADH dehydrogenase family		
b0432	P0ABJ1	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	cyoA b0432 JW0422	315				GO:0004129; GO:0005507; GO:0005886; GO:0009055; GO:0009060; GO:0009319; GO:0009486; GO:0015078; GO:0015453; GO:0015990; GO:0016682; GO:0019646; GO:0042773; GO:0070469	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:6365921}; Multi-pass membrane protein {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:6365921}.	2162835; 9278503; 16738553; 2162837; 8231804; 1322173; 6308657; 6365921; 2165491; 2168206; 16079137; 15919996; 19542282; 22843529; 8618822; 11017202	Cytochrome c oxidase subunit 2 family		TOPO_DOM 25..50; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 69..92; /note="Cytoplasmic"; /evidence="ECO:0000305"; TOPO_DOM 112..315; /note="Periplasmic"; /evidence="ECO:0000305"
b1297	P78061	Gamma-glutamylputrescine synthetase PuuA (Gamma-Glu-Put synthetase) (EC 6.3.1.11) (Glutamate--putrescine ligase)	puuA ycjK b1297 JW5201	472	6.3.1.11		PATHWAY: Amine and polyamine degradation; putrescine degradation; 4-aminobutanoate from putrescine: step 1/4. {ECO:0000269|PubMed:18495664}.	GO:0004356; GO:0005524; GO:0006542; GO:0006598; GO:0009447; GO:0034024		9097039; 9278503; 16738553; 14527658; 15590624; 18495664	Glutamine synthetase family	DOMAIN 35..129; /note="GS beta-grasp"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01330"; DOMAIN 136..472; /note="GS catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01331"	
b1298	P76038	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (Gamma-Glu-GABA hydrolase) (EC 3.5.1.94)	puuD ycjL b1298 JW1291	254	3.5.1.94		PATHWAY: Amine and polyamine degradation; putrescine degradation; 4-aminobutanoate from putrescine: step 4/4.	GO:0006598; GO:0009447; GO:0033969		9097039; 9278503; 16738553; 15590624; 16499623	Peptidase C26 family	DOMAIN 16..250; /note="Glutamine amidotransferase type-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00605"	
b1160	P75987	Anti-adapter protein IraM (Enhancing lycopene biosynthesis protein 1)	iraM elb1 elbA ycgW b1160 JW1147	107		P0AEV1		GO:0005737; GO:0010350; GO:0042177; GO:0043856; GO:0071468	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	9278503; 16738553; 9603997; 15225322; 18383615	IraM/RssC family		
